prefecture,city,c_latitude,c_longitude
北海道,札幌市,43.0621,141.354
青森県,青森市,40.8221,140.747
岩手県,盛岡市,39.7021,141.154
宮城県,仙台市,38.2682,140.869
秋田県,秋田市,39.7199,140.104
山形県,山形市,38.2554,140.34
福島県,福島市,37.7608,140.475
茨城県,水戸市,36.3665,140.471
栃木県,宇都宮市,36.5551,139.883
群馬県,前橋市,36.3895,139.063
埼玉県,さいたま市,35.8617,139.645
千葉県,千葉市,35.6073,140.106
東京都,東京市,35.6895,139.692
神奈川県,横浜市,35.4437,139.638
新潟県,新潟市,37.9162,139.036
富山県,富山市,36.696,137.214
石川県,金沢市,36.5613,136.656
福井県,福井市,36.0641,136.219
山梨県,甲府市,35.6623,138.568
長野県,長野市,36.6486,138.195
岐阜県,岐阜市,35.4233,136.761
静岡県,静岡市,34.9756,138.383
愛知県,名古屋市,35.1814,136.906
三重県,津市,34.7186,136.506
滋賀県,大津市,35.0179,135.855
京都府,京都市,35.0116,135.768
大阪府,大阪市,34.6937,135.502
兵庫県,神戸市,34.6901,135.196
奈良県,奈良市,34.6851,135.805
和歌山県,和歌山市,34.2305,135.171
鳥取県,鳥取市,35.5011,134.235
島根県,松江市,35.4681,133.048
岡山県,岡山市,34.6551,133.92
広島県,広島市,34.3852,132.455
山口県,山口市,34.1785,131.474
徳島県,徳島市,34.0703,134.555
香川県,高松市,34.3428,134.047
愛媛県,松山市,33.8392,132.766
高知県,高知市,33.5596,133.529
福岡県,福岡市,33.5904,130.402
佐賀県,佐賀市,33.2635,130.301
長崎県,長崎市,32.7503,129.878
熊本県,熊本市,32.8031,130.708
大分県,大分市,33.2396,131.609
宮崎県,宮崎市,31.9077,131.42
鹿児島県,鹿児島市,31.5966,130.557
沖縄県,那覇市,26.2123,127.679
